,survived,pclass,sex,age,sibsp,parch,fare,embarked,adult_male,alive,alone,family_size,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,who_child,who_man,who_woman,class_First,class_Second,class_Third
37,0,3,0,21.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
38,0,3,1,18.0,2,0,18.0,2,False,1,False,3,False,False,True,False,False,True,False,False,True
39,1,3,1,14.0,1,0,11.2417,0,False,0,False,2,True,False,False,True,False,False,False,False,True
40,0,3,1,40.0,1,0,9.475,2,False,1,False,2,False,False,True,False,False,True,False,False,True
41,0,2,1,27.0,1,0,21.0,2,False,1,False,2,False,False,True,False,False,True,False,True,False
42,0,3,0,28.0,0,0,7.8958,0,True,1,True,1,True,False,False,False,True,False,False,False,True
43,1,2,1,3.0,1,2,41.5792,0,False,0,False,4,True,False,False,True,False,False,False,True,False
44,1,3,1,19.0,0,0,7.8792,1,False,0,True,1,False,True,False,False,False,True,False,False,True
45,0,3,0,28.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
46,0,3,0,28.0,1,0,15.5,1,True,1,False,2,False,True,False,False,True,False,False,False,True
47,1,3,1,28.0,0,0,7.75,1,False,0,True,1,False,True,False,False,False,True,False,False,True
48,0,3,0,28.0,2,0,21.6792,0,True,1,False,3,True,False,False,False,True,False,False,False,True
49,0,3,1,18.0,1,0,17.8,2,False,1,False,2,False,False,True,False,False,True,False,False,True
50,0,3,0,7.0,4,1,39.6875,2,False,1,False,6,False,False,True,True,False,False,False,False,True
51,0,3,0,21.0,0,0,7.8,2,True,1,True,1,False,False,True,False,True,False,False,False,True
52,1,1,1,49.0,1,0,76.7292,0,False,0,False,2,True,False,False,False,False,True,True,False,False
53,1,2,1,29.0,1,0,26.0,2,False,0,False,2,False,False,True,False,False,True,False,True,False
54,0,1,0,65.0,0,1,61.9792,0,True,1,False,2,True,False,False,False,True,False,True,False,False
55,1,1,0,28.0,0,0,35.5,2,True,0,True,1,False,False,True,False,True,False,True,False,False
56,1,2,1,21.0,0,0,10.5,2,False,0,True,1,False,False,True,False,False,True,False,True,False
57,0,3,0,28.5,0,0,7.2292,0,True,1,True,1,True,False,False,False,True,False,False,False,True
58,1,2,1,5.0,1,2,27.75,2,False,0,False,4,False,False,True,True,False,False,False,True,False
59,0,3,0,11.0,5,2,46.9,2,False,1,False,8,False,False,True,True,False,False,False,False,True
60,0,3,0,22.0,0,0,7.2292,0,True,1,True,1,True,False,False,False,True,False,False,False,True
61,1,1,1,38.0,0,0,80.0,2,False,0,True,1,False,False,True,False,False,True,True,False,False
62,0,1,0,45.0,1,0,83.475,2,True,1,False,2,False,False,True,False,True,False,True,False,False
63,0,3,0,4.0,3,2,27.9,2,False,1,False,6,False,False,True,True,False,False,False,False,True
64,0,1,0,28.0,0,0,27.7208,0,True,1,True,1,True,False,False,False,True,False,True,False,False
65,1,3,0,28.0,1,1,15.2458,0,True,0,False,3,True,False,False,False,True,False,False,False,True
66,1,2,1,29.0,0,0,10.5,2,False,0,True,1,False,False,True,False,False,True,False,True,False
67,0,3,0,19.0,0,0,8.1583,2,True,1,True,1,False,False,True,False,True,False,False,False,True
68,1,3,1,17.0,4,2,7.925,2,False,0,False,7,False,False,True,False,False,True,False,False,True
69,0,3,0,26.0,2,0,8.6625,2,True,1,False,3,False,False,True,False,True,False,False,False,True
70,0,2,0,32.0,0,0,10.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
71,0,3,1,16.0,5,2,46.9,2,False,1,False,8,False,False,True,False,False,True,False,False,True
72,0,2,0,21.0,0,0,73.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
73,0,3,0,26.0,1,0,14.4542,0,True,1,False,2,True,False,False,False,True,False,False,False,True
74,1,3,0,32.0,0,0,56.4958,2,True,0,True,1,False,False,True,False,True,False,False,False,True
75,0,3,0,25.0,0,0,7.65,2,True,1,True,1,False,False,True,False,True,False,False,False,True
76,0,3,0,28.0,0,0,7.8958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
77,0,3,0,28.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
78,1,2,0,0.83,0,2,29.0,2,False,0,False,3,False,False,True,True,False,False,False,True,False
79,1,3,1,30.0,0,0,12.475,2,False,0,True,1,False,False,True,False,False,True,False,False,True
80,0,3,0,22.0,0,0,9.0,2,True,1,True,1,False,False,True,False,True,False,False,False,True
81,1,3,0,29.0,0,0,9.5,2,True,0,True,1,False,False,True,False,True,False,False,False,True
82,1,3,1,28.0,0,0,7.7875,1,False,0,True,1,False,True,False,False,False,True,False,False,True
83,0,1,0,28.0,0,0,47.1,2,True,1,True,1,False,False,True,False,True,False,True,False,False
84,1,2,1,17.0,0,0,10.5,2,False,0,True,1,False,False,True,False,False,True,False,True,False
85,1,3,1,33.0,3,0,15.85,2,False,0,False,4,False,False,True,False,False,True,False,False,True
86,0,3,0,16.0,1,3,34.375,2,True,1,False,5,False,False,True,False,True,False,False,False,True
87,0,3,0,28.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
88,1,1,1,23.0,3,2,263.0,2,False,0,False,6,False,False,True,False,False,True,True,False,False
89,0,3,0,24.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
90,0,3,0,29.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
91,0,3,0,20.0,0,0,7.8542,2,True,1,True,1,False,False,True,False,True,False,False,False,True
92,0,1,0,46.0,1,0,61.175,2,True,1,False,2,False,False,True,False,True,False,True,False,False
93,0,3,0,26.0,1,2,20.575,2,True,1,False,4,False,False,True,False,True,False,False,False,True
94,0,3,0,59.0,0,0,7.25,2,True,1,True,1,False,False,True,False,True,False,False,False,True
95,0,3,0,28.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
96,0,1,0,71.0,0,0,34.6542,0,True,1,True,1,True,False,False,False,True,False,True,False,False
97,1,1,0,23.0,0,1,63.3583,0,True,0,False,2,True,False,False,False,True,False,True,False,False
98,1,2,1,34.0,0,1,23.0,2,False,0,False,2,False,False,True,False,False,True,False,True,False
99,0,2,0,34.0,1,0,26.0,2,True,1,False,2,False,False,True,False,True,False,False,True,False
100,0,3,1,28.0,0,0,7.8958,2,False,1,True,1,False,False,True,False,False,True,False,False,True
101,0,3,0,28.0,0,0,7.8958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
102,0,1,0,21.0,0,1,77.2875,2,True,1,False,2,False,False,True,False,True,False,True,False,False
103,0,3,0,33.0,0,0,8.6542,2,True,1,True,1,False,False,True,False,True,False,False,False,True
104,0,3,0,37.0,2,0,7.925,2,True,1,False,3,False,False,True,False,True,False,False,False,True
105,0,3,0,28.0,0,0,7.8958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
106,1,3,1,21.0,0,0,7.65,2,False,0,True,1,False,False,True,False,False,True,False,False,True
107,1,3,0,28.0,0,0,7.775,2,True,0,True,1,False,False,True,False,True,False,False,False,True
108,0,3,0,38.0,0,0,7.8958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
109,1,3,1,28.0,1,0,24.15,1,False,0,False,2,False,True,False,False,False,True,False,False,True
110,0,1,0,47.0,0,0,52.0,2,True,1,True,1,False,False,True,False,True,False,True,False,False
111,0,3,1,14.5,1,0,14.4542,0,False,1,False,2,True,False,False,True,False,False,False,False,True
112,0,3,0,22.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
113,0,3,1,20.0,1,0,9.825,2,False,1,False,2,False,False,True,False,False,True,False,False,True
114,0,3,1,17.0,0,0,14.4583,0,False,1,True,1,True,False,False,False,False,True,False,False,True
115,0,3,0,21.0,0,0,7.925,2,True,1,True,1,False,False,True,False,True,False,False,False,True
116,0,3,0,70.5,0,0,7.75,1,True,1,True,1,False,True,False,False,True,False,False,False,True
117,0,2,0,29.0,1,0,21.0,2,True,1,False,2,False,False,True,False,True,False,False,True,False
118,0,1,0,24.0,0,1,247.5208,0,True,1,False,2,True,False,False,False,True,False,True,False,False
119,0,3,1,2.0,4,2,31.275,2,False,1,False,7,False,False,True,True,False,False,False,False,True
120,0,2,0,21.0,2,0,73.5,2,True,1,False,3,False,False,True,False,True,False,False,True,False
121,0,3,0,28.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
122,0,2,0,32.5,1,0,30.0708,0,True,1,False,2,True,False,False,False,True,False,False,True,False
123,1,2,1,32.5,0,0,13.0,2,False,0,True,1,False,False,True,False,False,True,False,True,False
124,0,1,0,54.0,0,1,77.2875,2,True,1,False,2,False,False,True,False,True,False,True,False,False
125,1,3,0,12.0,1,0,11.2417,0,False,0,False,2,True,False,False,True,False,False,False,False,True
126,0,3,0,28.0,0,0,7.75,1,True,1,True,1,False,True,False,False,True,False,False,False,True
127,1,3,0,24.0,0,0,7.1417,2,True,0,True,1,False,False,True,False,True,False,False,False,True
128,1,3,1,28.0,1,1,22.3583,0,False,0,False,3,True,False,False,False,False,True,False,False,True
129,0,3,0,45.0,0,0,6.975,2,True,1,True,1,False,False,True,False,True,False,False,False,True
130,0,3,0,33.0,0,0,7.8958,0,True,1,True,1,True,False,False,False,True,False,False,False,True
131,0,3,0,20.0,0,0,7.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
132,0,3,1,47.0,1,0,14.5,2,False,1,False,2,False,False,True,False,False,True,False,False,True
133,1,2,1,29.0,1,0,26.0,2,False,0,False,2,False,False,True,False,False,True,False,True,False
134,0,2,0,25.0,0,0,13.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
135,0,2,0,23.0,0,0,15.0458,0,True,1,True,1,True,False,False,False,True,False,False,True,False
136,1,1,1,19.0,0,2,26.2833,2,False,0,False,3,False,False,True,False,False,True,True,False,False
137,0,1,0,37.0,1,0,53.1,2,True,1,False,2,False,False,True,False,True,False,True,False,False
138,0,3,0,16.0,0,0,9.2167,2,True,1,True,1,False,False,True,False,True,False,False,False,True
139,0,1,0,24.0,0,0,79.2,0,True,1,True,1,True,False,False,False,True,False,True,False,False
140,0,3,1,28.0,0,2,15.2458,0,False,1,False,3,True,False,False,False,False,True,False,False,True
141,1,3,1,22.0,0,0,7.75,2,False,0,True,1,False,False,True,False,False,True,False,False,True
142,1,3,1,24.0,1,0,15.85,2,False,0,False,2,False,False,True,False,False,True,False,False,True
143,0,3,0,19.0,0,0,6.75,1,True,1,True,1,False,True,False,False,True,False,False,False,True
144,0,2,0,18.0,0,0,11.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
145,0,2,0,19.0,1,1,36.75,2,True,1,False,3,False,False,True,False,True,False,False,True,False
146,1,3,0,27.0,0,0,7.7958,2,True,0,True,1,False,False,True,False,True,False,False,False,True
147,0,3,1,9.0,2,2,34.375,2,False,1,False,5,False,False,True,True,False,False,False,False,True
148,0,2,0,36.5,0,2,26.0,2,True,1,False,3,False,False,True,False,True,False,False,True,False
149,0,2,0,42.0,0,0,13.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
150,0,2,0,51.0,0,0,12.525,2,True,1,True,1,False,False,True,False,True,False,False,True,False
151,1,1,1,22.0,1,0,66.6,2,False,0,False,2,False,False,True,False,False,True,True,False,False
152,0,3,0,55.5,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
153,0,3,0,40.5,0,2,14.5,2,True,1,False,3,False,False,True,False,True,False,False,False,True
154,0,3,0,28.0,0,0,7.3125,2,True,1,True,1,False,False,True,False,True,False,False,False,True
155,0,1,0,51.0,0,1,61.3792,0,True,1,False,2,True,False,False,False,True,False,True,False,False
156,1,3,1,16.0,0,0,7.7333,1,False,0,True,1,False,True,False,False,False,True,False,False,True
157,0,3,0,30.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
158,0,3,0,28.0,0,0,8.6625,2,True,1,True,1,False,False,True,False,True,False,False,False,True
159,0,3,0,28.0,8,2,69.55,2,True,1,False,11,False,False,True,False,True,False,False,False,True
160,0,3,0,44.0,0,1,16.1,2,True,1,False,2,False,False,True,False,True,False,False,False,True
161,1,2,1,40.0,0,0,15.75,2,False,0,True,1,False,False,True,False,False,True,False,True,False
162,0,3,0,26.0,0,0,7.775,2,True,1,True,1,False,False,True,False,True,False,False,False,True
163,0,3,0,17.0,0,0,8.6625,2,True,1,True,1,False,False,True,False,True,False,False,False,True
164,0,3,0,1.0,4,1,39.6875,2,False,1,False,6,False,False,True,True,False,False,False,False,True
165,1,3,0,9.0,0,2,20.525,2,False,0,False,3,False,False,True,True,False,False,False,False,True
166,1,1,1,28.0,0,1,55.0,2,False,0,False,2,False,False,True,False,False,True,True,False,False
167,0,3,1,45.0,1,4,27.9,2,False,1,False,6,False,False,True,False,False,True,False,False,True
168,0,1,0,28.0,0,0,25.925,2,True,1,True,1,False,False,True,False,True,False,True,False,False
169,0,3,0,28.0,0,0,56.4958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
170,0,1,0,61.0,0,0,33.5,2,True,1,True,1,False,False,True,False,True,False,True,False,False
171,0,3,0,4.0,4,1,29.125,1,False,1,False,6,False,True,False,True,False,False,False,False,True
172,1,3,1,1.0,1,1,11.1333,2,False,0,False,3,False,False,True,True,False,False,False,False,True
173,0,3,0,21.0,0,0,7.925,2,True,1,True,1,False,False,True,False,True,False,False,False,True
174,0,1,0,56.0,0,0,30.6958,0,True,1,True,1,True,False,False,False,True,False,True,False,False
175,0,3,0,18.0,1,1,7.8542,2,True,1,False,3,False,False,True,False,True,False,False,False,True
176,0,3,0,28.0,3,1,25.4667,2,True,1,False,5,False,False,True,False,True,False,False,False,True
177,0,1,1,50.0,0,0,28.7125,0,False,1,True,1,True,False,False,False,False,True,True,False,False
178,0,2,0,30.0,0,0,13.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
179,0,3,0,36.0,0,0,0.0,2,True,1,True,1,False,False,True,False,True,False,False,False,True
180,0,3,1,28.0,8,2,69.55,2,False,1,False,11,False,False,True,False,False,True,False,False,True
181,0,2,0,28.0,0,0,15.05,0,True,1,True,1,True,False,False,False,True,False,False,True,False
182,0,3,0,9.0,4,2,31.3875,2,False,1,False,7,False,False,True,True,False,False,False,False,True
183,1,2,0,1.0,2,1,39.0,2,False,0,False,4,False,False,True,True,False,False,False,True,False
184,1,3,1,4.0,0,2,22.025,2,False,0,False,3,False,False,True,True,False,False,False,False,True
185,0,1,0,28.0,0,0,50.0,2,True,1,True,1,False,False,True,False,True,False,True,False,False
186,1,3,1,28.0,1,0,15.5,1,False,0,False,2,False,True,False,False,False,True,False,False,True
187,1,1,0,45.0,0,0,26.55,2,True,0,True,1,False,False,True,False,True,False,True,False,False
188,0,3,0,40.0,1,1,15.5,1,True,1,False,3,False,True,False,False,True,False,False,False,True
189,0,3,0,36.0,0,0,7.8958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
190,1,2,1,32.0,0,0,13.0,2,False,0,True,1,False,False,True,False,False,True,False,True,False
191,0,2,0,19.0,0,0,13.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
192,1,3,1,19.0,1,0,7.8542,2,False,0,False,2,False,False,True,False,False,True,False,False,True
193,1,2,0,3.0,1,1,26.0,2,False,0,False,3,False,False,True,True,False,False,False,True,False
194,1,1,1,44.0,0,0,27.7208,0,False,0,True,1,True,False,False,False,False,True,True,False,False
195,1,1,1,58.0,0,0,146.5208,0,False,0,True,1,True,False,False,False,False,True,True,False,False
196,0,3,0,28.0,0,0,7.75,1,True,1,True,1,False,True,False,False,True,False,False,False,True
197,0,3,0,42.0,0,1,8.4042,2,True,1,False,2,False,False,True,False,True,False,False,False,True
198,1,3,1,28.0,0,0,7.75,1,False,0,True,1,False,True,False,False,False,True,False,False,True
199,0,2,1,24.0,0,0,13.0,2,False,1,True,1,False,False,True,False,False,True,False,True,False
200,0,3,0,28.0,0,0,9.5,2,True,1,True,1,False,False,True,False,True,False,False,False,True
201,0,3,0,28.0,8,2,69.55,2,True,1,False,11,False,False,True,False,True,False,False,False,True
202,0,3,0,34.0,0,0,6.4958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
203,0,3,0,45.5,0,0,7.225,0,True,1,True,1,True,False,False,False,True,False,False,False,True
204,1,3,0,18.0,0,0,8.05,2,True,0,True,1,False,False,True,False,True,False,False,False,True
205,0,3,1,2.0,0,1,10.4625,2,False,1,False,2,False,False,True,True,False,False,False,False,True
206,0,3,0,32.0,1,0,15.85,2,True,1,False,2,False,False,True,False,True,False,False,False,True
207,1,3,0,26.0,0,0,18.7875,0,True,0,True,1,True,False,False,False,True,False,False,False,True
208,1,3,1,16.0,0,0,7.75,1,False,0,True,1,False,True,False,False,False,True,False,False,True
209,1,1,0,40.0,0,0,31.0,0,True,0,True,1,True,False,False,False,True,False,True,False,False
210,0,3,0,24.0,0,0,7.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
211,1,2,1,35.0,0,0,21.0,2,False,0,True,1,False,False,True,False,False,True,False,True,False
212,0,3,0,22.0,0,0,7.25,2,True,1,True,1,False,False,True,False,True,False,False,False,True
213,0,2,0,30.0,0,0,13.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
214,0,3,0,28.0,1,0,7.75,1,True,1,False,2,False,True,False,False,True,False,False,False,True
215,1,1,1,31.0,1,0,113.275,0,False,0,False,2,True,False,False,False,False,True,True,False,False
216,1,3,1,27.0,0,0,7.925,2,False,0,True,1,False,False,True,False,False,True,False,False,True
217,0,2,0,42.0,1,0,27.0,2,True,1,False,2,False,False,True,False,True,False,False,True,False
218,1,1,1,32.0,0,0,76.2917,0,False,0,True,1,True,False,False,False,False,True,True,False,False
219,0,2,0,30.0,0,0,10.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
220,1,3,0,16.0,0,0,8.05,2,True,0,True,1,False,False,True,False,True,False,False,False,True
221,0,2,0,27.0,0,0,13.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
222,0,3,0,51.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
223,0,3,0,28.0,0,0,7.8958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
224,1,1,0,38.0,1,0,90.0,2,True,0,False,2,False,False,True,False,True,False,True,False,False
225,0,3,0,22.0,0,0,9.35,2,True,1,True,1,False,False,True,False,True,False,False,False,True
226,1,2,0,19.0,0,0,10.5,2,True,0,True,1,False,False,True,False,True,False,False,True,False
227,0,3,0,20.5,0,0,7.25,2,True,1,True,1,False,False,True,False,True,False,False,False,True
228,0,2,0,18.0,0,0,13.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
229,0,3,1,28.0,3,1,25.4667,2,False,1,False,5,False,False,True,False,False,True,False,False,True
230,1,1,1,35.0,1,0,83.475,2,False,0,False,2,False,False,True,False,False,True,True,False,False
231,0,3,0,29.0,0,0,7.775,2,True,1,True,1,False,False,True,False,True,False,False,False,True
232,0,2,0,59.0,0,0,13.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
233,1,3,1,5.0,4,2,31.3875,2,False,0,False,7,False,False,True,True,False,False,False,False,True
234,0,2,0,24.0,0,0,10.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
235,0,3,1,28.0,0,0,7.55,2,False,1,True,1,False,False,True,False,False,True,False,False,True
236,0,2,0,44.0,1,0,26.0,2,True,1,False,2,False,False,True,False,True,False,False,True,False
237,1,2,1,8.0,0,2,26.25,2,False,0,False,3,False,False,True,True,False,False,False,True,False
238,0,2,0,19.0,0,0,10.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
239,0,2,0,33.0,0,0,12.275,2,True,1,True,1,False,False,True,False,True,False,False,True,False
240,0,3,1,28.0,1,0,14.4542,0,False,1,False,2,True,False,False,False,False,True,False,False,True
241,1,3,1,28.0,1,0,15.5,1,False,0,False,2,False,True,False,False,False,True,False,False,True
242,0,2,0,29.0,0,0,10.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
243,0,3,0,22.0,0,0,7.125,2,True,1,True,1,False,False,True,False,True,False,False,False,True
244,0,3,0,30.0,0,0,7.225,0,True,1,True,1,True,False,False,False,True,False,False,False,True
245,0,1,0,44.0,2,0,90.0,1,True,1,False,3,False,True,False,False,True,False,True,False,False
246,0,3,1,25.0,0,0,7.775,2,False,1,True,1,False,False,True,False,False,True,False,False,True
247,1,2,1,24.0,0,2,14.5,2,False,0,False,3,False,False,True,False,False,True,False,True,False
248,1,1,0,37.0,1,1,52.5542,2,True,0,False,3,False,False,True,False,True,False,True,False,False
249,0,2,0,54.0,1,0,26.0,2,True,1,False,2,False,False,True,False,True,False,False,True,False
250,0,3,0,28.0,0,0,7.25,2,True,1,True,1,False,False,True,False,True,False,False,False,True
251,0,3,1,29.0,1,1,10.4625,2,False,1,False,3,False,False,True,False,False,True,False,False,True
252,0,1,0,62.0,0,0,26.55,2,True,1,True,1,False,False,True,False,True,False,True,False,False
253,0,3,0,30.0,1,0,16.1,2,True,1,False,2,False,False,True,False,True,False,False,False,True
254,0,3,1,41.0,0,2,20.2125,2,False,1,False,3,False,False,True,False,False,True,False,False,True
255,1,3,1,29.0,0,2,15.2458,0,False,0,False,3,True,False,False,False,False,True,False,False,True
256,1,1,1,28.0,0,0,79.2,0,False,0,True,1,True,False,False,False,False,True,True,False,False
257,1,1,1,30.0,0,0,86.5,2,False,0,True,1,False,False,True,False,False,True,True,False,False
258,1,1,1,35.0,0,0,512.3292,0,False,0,True,1,True,False,False,False,False,True,True,False,False
259,1,2,1,50.0,0,1,26.0,2,False,0,False,2,False,False,True,False,False,True,False,True,False
260,0,3,0,28.0,0,0,7.75,1,True,1,True,1,False,True,False,False,True,False,False,False,True
261,1,3,0,3.0,4,2,31.3875,2,False,0,False,7,False,False,True,True,False,False,False,False,True
262,0,1,0,52.0,1,1,79.65,2,True,1,False,3,False,False,True,False,True,False,True,False,False
263,0,1,0,40.0,0,0,0.0,2,True,1,True,1,False,False,True,False,True,False,True,False,False
264,0,3,1,28.0,0,0,7.75,1,False,1,True,1,False,True,False,False,False,True,False,False,True
265,0,2,0,36.0,0,0,10.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
266,0,3,0,16.0,4,1,39.6875,2,True,1,False,6,False,False,True,False,True,False,False,False,True
267,1,3,0,25.0,1,0,7.775,2,True,0,False,2,False,False,True,False,True,False,False,False,True
268,1,1,1,58.0,0,1,153.4625,2,False,0,False,2,False,False,True,False,False,True,True,False,False
269,1,1,1,35.0,0,0,135.6333,2,False,0,True,1,False,False,True,False,False,True,True,False,False
270,0,1,0,28.0,0,0,31.0,2,True,1,True,1,False,False,True,False,True,False,True,False,False
271,1,3,0,25.0,0,0,0.0,2,True,0,True,1,False,False,True,False,True,False,False,False,True
272,1,2,1,41.0,0,1,19.5,2,False,0,False,2,False,False,True,False,False,True,False,True,False
273,0,1,0,37.0,0,1,29.7,0,True,1,False,2,True,False,False,False,True,False,True,False,False
274,1,3,1,28.0,0,0,7.75,1,False,0,True,1,False,True,False,False,False,True,False,False,True
275,1,1,1,63.0,1,0,77.9583,2,False,0,False,2,False,False,True,False,False,True,True,False,False
276,0,3,1,45.0,0,0,7.75,2,False,1,True,1,False,False,True,False,False,True,False,False,True
277,0,2,0,28.0,0,0,0.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
278,0,3,0,7.0,4,1,29.125,1,False,1,False,6,False,True,False,True,False,False,False,False,True
279,1,3,1,35.0,1,1,20.25,2,False,0,False,3,False,False,True,False,False,True,False,False,True
280,0,3,0,65.0,0,0,7.75,1,True,1,True,1,False,True,False,False,True,False,False,False,True
281,0,3,0,28.0,0,0,7.8542,2,True,1,True,1,False,False,True,False,True,False,False,False,True
282,0,3,0,16.0,0,0,9.5,2,True,1,True,1,False,False,True,False,True,False,False,False,True
283,1,3,0,19.0,0,0,8.05,2,True,0,True,1,False,False,True,False,True,False,False,False,True
284,0,1,0,28.0,0,0,26.0,2,True,1,True,1,False,False,True,False,True,False,True,False,False
